verification_status,id,name,type,address,city,state,zip,country,terminal_code,Major Metro,Metro Region
CLOSED,79,CPR - Regina,ramp,2271 Dewdney Ave,Regina,SK,S4R1G8,CA,CAREGCPDWDN,SK-Regina,
VERIFIED,80,CPR - Regina,ramp,2401 Fleming Road,Regina,SK,S4M0A1,CA,CAREGCPDWDN,SK-Regina,
VERIFIED,78,CPR - Vancouver (Pitt Meadows),ramp,17900 Kennedy Road,Pitt Meadows,BC,V3Y1Z1,CA,CAVANCPPITT,BC-Vancouver,
VERIFIED,81,CPR - Vaughan,ramp,6830 Rutherford Road ,Kleinburg,ON,L0J1C0,CA,CATORCPVGHN,ON-Toronto,
VERIFIED,82,CPR - Winnipeg,ramp,611 Keewatin Street,Winnipeg,MB,R2X2S1,CA,CAWNPCPWNPG,MB-Winnipeg,
VERIFIED,85,CSX - Atlanta (Fairburn Serves BNSF),ramp,6954 McLarin Road,Fairburn,GA,30213,USA,USATLCXFBRN,GA-Atlanta,Fairburn
VERIFIED,103,CSX - Baltimore (Seagirt Marine Terminal),ramp,4801 Keith Avenue,Baltimore,MD,21224,USA,USBALCXKTHA,MD-Baltimore,
VERIFIED,86,CSX - Bessemer (CAICTF),ramp,2401 5th Ave.,Bessemer,AL,35020,USA,USBHMCXCAIC,AL-Birmingham,
VERIFIED,87,CSX - Buffalo (ICTF),ramp,257 Lake Ave,Blasdell,NY,14219,USA,USBUFCXICTF,NY-Buffalo,
VERIFIED,127,CSX - Central Florida (ILC-Orlando),ramp,3935 Intermodal Dr,Winter Haven,FL,33884,USA,USGIFCXCFLA,FL-Winter Haven,
VERIFIED,88,CSX - Chambersburg (Harrisburg),ramp,700 Kriner Road,Chambersburg,PA,17202,USA,USCBBCXCHMB,PA-Chamersburg,
VERIFIED,108,CSX - Charleston (Meeting Street),ramp,4201 Meeting Street,North Charleston,SC,29405,USA,USCHSCXMTGS,SC-Charleston,Charleston-Rails
